#{"t_start": 1759324266.3759675, "env_id": "CartPole-v1"}
r,l,t
29.0,29,1.148555
10.0,10,1.148555
11.0,11,1.150095
36.0,36,1.152188
13.0,13,1.153225
16.0,16,1.154232
17.0,17,1.154736
19.0,19,1.156247
37.0,37,1.158765
27.0,27,1.160276
15.0,15,1.160781
13.0,13,1.161787
23.0,23,1.164318
10.0,10,1.164318
29.0,29,1.166835
18.0,18,1.16734
11.0,11,1.168851
11.0,11,1.168851
46.0,46,1.17139
11.0,11,1.172932
32.0,32,1.174483
47.0,47,1.177556
16.0,16,1.177556
26.0,26,1.180615
34.0,34,1.182702
16.0,16,1.183216
19.0,19,1.184757
22.0,22,1.186379
24.0,24,1.18789
15.0,15,1.188916
11.0,11,1.189429
17.0,17,1.189429
13.0,13,1.190954
30.0,30,1.192499
16.0,16,1.19401
66.0,66,1.198544
31.0,31,1.200056
18.0,18,1.201061
25.0,25,1.205109
19.0,19,1.20662
10.0,10,1.207124
27.0,27,1.208631
12.0,12,1.209635
12.0,12,1.210139
14.0,14,1.211146
17.0,17,1.211652
14.0,14,1.218764
15.0,15,1.223855
15.0,15,1.231555
26.0,26,1.246236
16.0,16,1.255349
14.0,14,1.262042
15.0,15,1.270755
36.0,36,1.291549
27.0,27,1.308216
20.0,20,1.318063
24.0,24,1.331736
17.0,17,1.338865
9.0,9,1.343463
18.0,18,1.352772
16.0,16,1.359987
19.0,19,1.369213
29.0,29,1.38474
10.0,10,1.388612
12.0,12,1.394184
41.0,41,1.414103
19.0,19,1.425288
17.0,17,1.434407
15.0,15,1.442077
11.0,11,1.451524
23.0,23,1.473252
16.0,16,1.482852
26.0,26,1.50066
17.0,17,1.511281
31.0,31,1.527174
22.0,22,1.539526
11.0,11,1.543648
16.0,16,1.551445
24.0,24,1.564652
37.0,37,1.587085
14.0,14,1.594214
12.0,12,1.603495
22.0,22,1.616111
9.0,9,1.620668
14.0,14,1.626829
22.0,22,1.64342
12.0,12,1.651738
28.0,28,1.666868
14.0,14,1.673035
22.0,22,1.684268
9.0,9,1.689303
16.0,16,1.696864
26.0,26,1.713145
11.0,11,1.717283
10.0,10,1.722816
16.0,16,1.733105
12.0,12,1.739215
16.0,16,1.748617
21.0,21,1.760048
13.0,13,1.767218
21.0,21,1.779514
10.0,10,1.78405
18.0,18,1.793845
14.0,14,1.801571
11.0,11,1.808312
15.0,15,1.81662
12.0,12,1.822332
17.0,17,1.830061
14.0,14,1.837796
26.0,26,1.85132
14.0,14,1.859056
12.0,12,1.865099
22.0,22,1.878916
17.0,17,1.886648
13.0,13,1.892706
9.0,9,1.897768
9.0,9,1.901852
20.0,20,1.912185
12.0,12,1.920981
