#{"t_start": 1759322566.9617226, "env_id": "CartPole-v1"}
r,l,t
18.0,18,1.094416
16.0,16,1.094416
11.0,11,1.095951
14.0,14,1.095951
11.0,11,1.097488
15.0,15,1.09902
24.0,24,1.099637
26.0,26,1.102185
58.0,58,1.105205
22.0,22,1.106715
14.0,14,1.107721
20.0,20,1.108772
10.0,10,1.110795
12.0,12,1.110795
17.0,17,1.112306
17.0,17,1.113816
72.0,72,1.117842
11.0,11,1.118347
14.0,14,1.119858
19.0,19,1.120863
24.0,24,1.122373
13.0,13,1.122373
12.0,12,1.123903
32.0,32,1.126504
47.0,47,1.129558
31.0,31,1.131097
11.0,11,1.131097
18.0,18,1.133289
17.0,17,1.134295
25.0,25,1.135806
24.0,24,1.137317
20.0,20,1.138828
14.0,14,1.139332
12.0,12,1.140856
26.0,26,1.142379
21.0,21,1.144389
21.0,21,1.145393
18.0,18,1.14841
20.0,20,1.148916
20.0,20,1.150426
34.0,34,1.152941
25.0,25,1.154478
41.0,41,1.15708
17.0,17,1.15708
12.0,12,1.158614
32.0,32,1.166918
47.0,47,1.188669
34.0,34,1.21142
10.0,10,1.215575
51.0,51,1.246543
24.0,24,1.261449
54.0,54,1.288342
16.0,16,1.296059
31.0,31,1.312392
50.0,50,1.339073
14.0,14,1.346304
23.0,23,1.35862
11.0,11,1.365712
12.0,12,1.371769
11.0,11,1.375789
17.0,17,1.384969
14.0,14,1.389562
21.0,21,1.399925
23.0,23,1.410694
12.0,12,1.416222
14.0,14,1.423265
28.0,28,1.437798
19.0,19,1.446105
20.0,20,1.454809
20.0,20,1.46627
33.0,33,1.484243
23.0,23,1.493051
14.0,14,1.500793
16.0,16,1.507877
13.0,13,1.513975
12.0,12,1.520104
13.0,13,1.524256
18.0,18,1.534516
11.0,11,1.540599
22.0,22,1.552523
9.0,9,1.55558
20.0,20,1.564841
22.0,22,1.576483
29.0,29,1.590024
13.0,13,1.596812
14.0,14,1.605456
9.0,9,1.608997
11.0,11,1.615664
9.0,9,1.620218
19.0,19,1.63001
10.0,10,1.634412
17.0,17,1.645337
12.0,12,1.651469
20.0,20,1.660738
11.0,11,1.666788
15.0,15,1.673845
18.0,18,1.68401
32.0,32,1.69898
17.0,17,1.707146
20.0,20,1.716309
41.0,41,1.737346
38.0,38,1.759361
10.0,10,1.762495
13.0,13,1.769555
10.0,10,1.775739
10.0,10,1.778831
16.0,16,1.787599
24.0,24,1.798385
11.0,11,1.805488
16.0,16,1.813174
