epsilon,mean,std,k,stride,label
0.01,500.0,0.0,60,1,baseline_s0_strong
0.02,500.0,0.0,60,1,baseline_s0_strong
0.05,488.875,29.43398333559357,60,1,baseline_s0_strong
0.1,500.0,0.0,60,1,baseline_s0_strong
0.15,500.0,0.0,60,1,baseline_s0_strong
0.2,500.0,0.0,60,1,baseline_s0_strong
