epsilon,mean,std,label,steps,alpha,restarts
0.01,69.7,64.79513870654186,defense_pgd_s0,20,0.001,1
0.02,50.36666666666667,61.32399385413691,defense_pgd_s0,20,0.002,1
0.05,44.13333333333333,57.91817983634807,defense_pgd_s0,20,0.005000000000000001,1
0.1,14.6,9.789790600416334,defense_pgd_s0,20,0.010000000000000002,1
