epsilon,mean,std,n,label
0.01,484.73333333333335,82.21351605558677,30,base_s0
0.02,161.63333333333333,204.05301326425501,30,base_s0
0.05,46.96666666666667,121.08247418828024,30,base_s0
0.1,17.133333333333333,9.401181958787003,30,base_s0
