epsilon,mean,std,k,stride,label
0.01,500.0,0.0,40,1,defense_s0_strong
0.02,500.0,0.0,40,1,defense_s0_strong
0.05,500.0,0.0,40,1,defense_s0_strong
0.1,500.0,0.0,40,1,defense_s0_strong
