attack,mode,epsilon,mean,std,episodes,label
fgsm,untargeted,0.0,123.93333333333334,3.3757303736459106,30,defense_s1
fgsm,untargeted,0.01,129.16666666666666,4.344217101184311,30,defense_s1
fgsm,untargeted,0.02,135.93333333333334,4.122566622330749,30,defense_s1
fgsm,untargeted,0.05,161.5,6.5612498809297,30,defense_s1
fgsm,untargeted,0.1,443.3,102.26408623428527,30,defense_s1
fgsm,untargeted,0.2,279.3333333333333,193.65094600566476,30,defense_s1
