epsilon,mean,std,label,steps,alpha,restarts
0.05,182.375,149.80565535052406,baseline_s0_fix,40,0.005000000000000001,2
0.1,242.75,169.92553516172902,baseline_s0_fix,40,0.010000000000000002,2
0.2,302.125,176.54633775584244,baseline_s0_fix,40,0.020000000000000004,2
