epsilon,mean,std,n,label
0.01,500.0,0.0,30,base_s2
0.02,500.0,0.0,30,base_s2
0.05,216.86666666666667,70.28737835170377,30,base_s2
0.1,119.23333333333333,26.700416143240577,30,base_s2
