epsilon,mean,std,label,attack,steps
0.01,500.0,0.0,seed1,pgd,20
0.02,485.73333333333335,76.82835124845228,seed1,pgd,20
0.05,317.53333333333336,201.19405778722415,seed1,pgd,20
0.1,36.56666666666667,12.123485014173477,seed1,pgd,20
