epsilon,mean,std,k,stride,label
0.01,500.0,0.0,10,1,base_s1_k10
0.02,500.0,0.0,10,1,base_s1_k10
0.05,500.0,0.0,10,1,base_s1_k10
0.1,500.0,0.0,10,1,base_s1_k10
