epsilon,mean,std,k,stride,label
0.01,500.0,0.0,20,3,baseline
0.02,500.0,0.0,20,3,baseline
0.05,362.5,210.0358302766459,20,3,baseline
0.1,220.0,199.26163705038658,20,3,baseline
0.15,301.0,213.02441174663528,20,3,baseline
0.2,454.7,135.89999999999998,20,3,baseline
