label,epsilon,steps,alpha,restarts,stride,mean,std
defense_s0_q,0.01,20,0.0005,2,3,500.0,0.0
defense_s0_q,0.02,20,0.001,2,3,500.0,0.0
defense_s0_q,0.05,20,0.0025,2,3,270.1,168.697036132826
defense_s0_q,0.1,20,0.005,2,3,235.0,218.09585048780733
defense_s0_q,0.15,20,0.0075,2,3,21.3,13.528118864054973
defense_s0_q,0.2,20,0.01,2,3,17.0,6.29285308902091
