epsilon,mean,std,k,stride,label
0.01,500.0,0.0,80,1,base_k80
0.02,500.0,0.0,80,1,base_k80
0.05,500.0,0.0,80,1,base_k80
0.1,500.0,0.0,80,1,base_k80
