epsilon,mean,std,n,label
0.01,500.0,0.0,30,def_s1
0.02,500.0,0.0,30,def_s1
0.05,263.06666666666666,203.41073936468766,30,def_s1
0.1,296.6333333333333,158.3625551981556,30,def_s1
