epsilon,mean,std,k,stride,label
0.01,500.0,0.0,80,1,def_s0_k80_core
0.02,500.0,0.0,80,1,def_s0_k80_core
0.05,485.7,62.33225489263163,80,1,def_s0_k80_core
0.1,438.4,118.38513420189209,80,1,def_s0_k80_core
