epsilon,mean,std,k,stride,label
0.01,500.0,0.0,40,1,defense_s0_mid
0.02,500.0,0.0,40,1,defense_s0_mid
0.05,500.0,0.0,40,1,defense_s0_mid
0.1,404.75,123.69028862445103,40,1,defense_s0_mid
