epsilon,mean,std,label,attack
0.01,500.0,0.0,seed0,random
0.02,484.6333333333333,82.7520325363002,seed0,random
0.05,392.3333333333333,195.16562766589357,seed0,random
0.1,112.7,162.94010146881175,seed0,random
