epsilon,mean,std,k,stride,label
0.01,500.0,0.0,10,1,def_s0_k10
0.02,500.0,0.0,10,1,def_s0_k10
0.05,458.6,124.24870220650195,10,1,def_s0_k10
0.1,451.15,109.56563101629999,10,1,def_s0_k10
