epsilon,mean,std,k,stride,label
0.01,332.9,167.1618676612582,20,3,defense_s0
0.02,337.9,201.75998116574058,20,3,defense_s0
0.05,116.0,137.56525724179053,20,3,defense_s0
0.1,47.1,31.573564892168893,20,3,defense_s0
0.15,57.6,47.39240445472249,20,3,defense_s0
0.2,68.4,50.25773572297105,20,3,defense_s0
