epsilon,mean,std,label,attack,steps
0.01,500.0,0.0,seed2,pgd,20
0.02,500.0,0.0,seed2,pgd,20
0.05,497.3666666666667,14.180933992120858,seed2,pgd,20
0.1,224.9,157.77269514505144,seed2,pgd,20
