epsilon,mean,std,label,attack,steps
0.01,500.0,0.0,seed0,pgd,20
0.02,438.4,157.0504377580655,seed0,pgd,20
0.05,36.0,21.63638910108,seed0,pgd,20
0.1,34.36666666666667,17.323362516812058,seed0,pgd,20
