epsilon,median_base,q25_base,q75_base,median_def,q25_def,q75_def,delta,delta_pct
0.01,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0
0.02,500.0,422.98333333333335,500.0,500.0,500.0,500.0,0.0,0.0
0.05,317.2,175.26666666666665,407.15,335.5,223.01666666666665,395.66666666666663,18.30000000000001,5.769230769230773
0.1,36.3,34.93333333333334,148.98333333333335,43.833333333333336,41.6,56.06666666666666,7.5333333333333385,20.75298438934804
