epsilon,mean_base,std_base,med_base,mean_def,std_def,med_def,delta_med,delta_med_pct
0.01,500.0,0.0,500.0,500.0,0.0,500.0,0.0,0.0
0.02,422.98333333333335,108.91801452876787,422.98333333333335,500.0,0.0,500.0,77.01666666666665,18.207967216990422
0.05,283.5111111111111,235.15027189091313,317.2,310.9,179.20006510415485,366.3333333333333,49.133333333333326,15.489701555275323
0.1,154.3111111111111,206.77289295083932,36.3,89.38888888888887,63.260390743632286,68.3,32.0,88.1542699724518
