epsilon,mean_baseline,std_baseline,mean_defense,std_defense,delta,delta_pct
0.01,500.0,0.0,500.0,0.0,0.0,0.0
0.02,438.4,157.0504377580655,500.0,0.0,61.60000000000002,14.051094890510953
0.05,36.0,21.63638910108,74.3,46.21770944850758,38.3,106.38888888888887
0.1,34.36666666666667,17.323362516812058,51.56666666666667,26.280136140354287,17.200000000000003,50.04849660523764
