#{"t_start": 1759324883.863047, "env_id": "CartPole-v1"}
r,l,t
229.0,229,42.042113
500.0,500,42.477235
207.0,207,42.655697
196.0,196,42.826653
500.0,500,43.258266
243.0,243,47.054576
473.0,473,47.470793
432.0,432,47.860582
500.0,500,48.341691
278.0,278,48.590861
234.0,234,48.813818
266.0,266,49.050994
183.0,183,49.205455
200.0,200,49.383192
500.0,500,49.824506
195.0,195,49.992844
461.0,461,50.397707
500.0,500,50.830551
316.0,316,51.103095
450.0,450,51.50864
379.0,379,51.839781
251.0,251,52.054058
405.0,405,52.419547
500.0,500,52.821738
500.0,500,53.25033
500.0,500,53.69265
500.0,500,54.147977
449.0,449,54.55194
401.0,401,54.916133
427.0,427,55.300682
500.0,500,55.742342
500.0,500,56.18148
500.0,500,56.624763
500.0,500,57.060388
500.0,500,57.503921
397.0,397,57.85086
500.0,500,58.293807
500.0,500,58.743197
274.0,274,59.003408
206.0,206,59.184627
176.0,176,59.342648
230.0,230,59.549911
194.0,194,59.728252
500.0,500,60.170151
500.0,500,60.609744
500.0,500,61.052067
350.0,350,61.356316
500.0,500,61.808255
500.0,500,62.249605
346.0,346,62.559088
329.0,329,62.881277
319.0,319,63.19301
358.0,358,63.511895
351.0,351,63.822911
307.0,307,64.090702
313.0,313,64.37184
376.0,376,64.736032
500.0,500,65.178759
500.0,500,65.626328
500.0,500,66.067791
500.0,500,66.548532
500.0,500,67.056959
500.0,500,67.536314
500.0,500,68.013978
500.0,500,68.520711
498.0,498,69.007588
429.0,429,69.396645
500.0,500,69.878421
266.0,266,70.127
283.0,283,70.405775
259.0,259,70.646164
261.0,261,70.875839
288.0,288,71.130361
458.0,458,71.587689
500.0,500,72.03224
500.0,500,72.475538
500.0,500,72.907565
500.0,500,73.343807
356.0,356,73.666121
184.0,184,73.835552
193.0,193,74.011269
254.0,254,74.241675
500.0,500,74.67753
500.0,500,75.114464
500.0,500,75.549356
500.0,500,75.987788
189.0,189,76.153649
294.0,294,76.407353
469.0,469,76.822294
500.0,500,77.263082
500.0,500,77.703234
500.0,500,78.144627
500.0,500,78.585793
500.0,500,79.021655
500.0,500,79.474694
224.0,224,79.67171
500.0,500,80.110451
500.0,500,80.546656
500.0,500,80.985995
500.0,500,81.423085
500.0,500,81.870253
500.0,500,82.308025
418.0,418,82.675315
185.0,185,82.839822
365.0,365,83.165198
500.0,500,83.6067
231.0,231,83.810281
500.0,500,84.249617
500.0,500,84.687013
500.0,500,85.114303
500.0,500,85.552475
229.0,229,85.755304
281.0,281,85.997939
500.0,500,86.432912
500.0,500,86.87055
124.0,124,86.977618
126.0,126,87.084877
264.0,264,87.312629
207.0,207,87.49249
145.0,145,87.618038
133.0,133,87.73559
500.0,500,88.184512
500.0,500,88.622396
500.0,500,89.062911
500.0,500,89.595223
500.0,500,90.117277
438.0,438,90.561199
500.0,500,91.003782
500.0,500,91.448259
500.0,500,91.885853
500.0,500,96.00796
500.0,500,96.468424
500.0,500,96.942589
500.0,500,97.391725
500.0,500,97.84403
428.0,428,98.223819
500.0,500,98.66147
251.0,251,98.883456
238.0,238,99.09329
500.0,500,99.556368
500.0,500,100.001437
500.0,500,100.43633
500.0,500,100.877447
500.0,500,101.316959
150.0,150,101.449236
500.0,500,101.890066
500.0,500,102.322168
500.0,500,102.754927
500.0,500,103.191007
500.0,500,103.637926
500.0,500,104.125912
500.0,500,104.6542
500.0,500,105.11258
500.0,500,105.545732
500.0,500,105.987766
500.0,500,106.431678
500.0,500,106.877887
500.0,500,107.31867
500.0,500,107.760284
500.0,500,108.193547
500.0,500,108.628208
500.0,500,109.067899
500.0,500,109.520759
500.0,500,109.972867
500.0,500,110.409156
500.0,500,110.856757
337.0,337,111.159123
500.0,500,111.6001
235.0,235,111.809217
119.0,119,111.911826
430.0,430,112.283618
181.0,181,112.441575
500.0,500,112.876919
148.0,148,113.006769
480.0,480,113.429966
185.0,185,113.592156
500.0,500,114.033048
108.0,108,114.128435
342.0,342,114.432235
293.0,293,114.690611
88.0,88,114.766427
63.0,63,114.823034
128.0,128,114.935503
146.0,146,115.065382
202.0,202,115.242865
71.0,71,115.303987
40.0,40,115.34129
48.0,48,115.380416
153.0,153,115.516085
20.0,20,115.53368
43.0,43,115.571396
76.0,76,115.636307
47.0,47,115.678441
185.0,185,115.841033
17.0,17,115.854396
46.0,46,115.895392
43.0,43,115.932894
19.0,19,115.950763
13.0,13,115.960505
15.0,15,115.974321
15.0,15,115.988632
16.0,16,116.003026
45.0,45,116.041591
18.0,18,116.057802
15.0,15,116.069823
500.0,500,116.519665
14.0,14,116.53384
15.0,15,116.54896
500.0,500,117.024173
500.0,500,117.483113
500.0,500,117.941275
500.0,500,118.378908
500.0,500,118.818882
500.0,500,119.26264
500.0,500,119.726837
500.0,500,120.169782
500.0,500,120.609302
500.0,500,121.060149
500.0,500,121.509965
500.0,500,121.972123
500.0,500,122.419885
500.0,500,122.874387
396.0,396,123.219244
332.0,332,123.50381
238.0,238,123.711963
318.0,318,123.986036
238.0,238,124.194429
190.0,190,124.363243
197.0,197,124.553059
201.0,201,124.733432
144.0,144,124.860365
155.0,155,124.998672
147.0,147,125.127743
123.0,123,125.236652
131.0,131,125.352037
121.0,121,125.455482
118.0,118,125.561464
120.0,120,125.667965
111.0,111,125.766974
130.0,130,125.880206
135.0,135,125.999041
116.0,116,126.103788
