seed,episode,clean,trigger
seed2,1,315.0,19.0
seed2,2,413.0,15.0
seed2,3,410.0,18.0
seed2,4,406.0,16.0
seed2,5,500.0,17.0
seed2,6,478.0,17.0
seed2,7,395.0,16.0
seed2,8,318.0,18.0
seed2,9,401.0,23.0
seed2,10,315.0,18.0
seed2,11,321.0,20.0
seed2,12,401.0,15.0
seed2,13,324.0,18.0
seed2,14,408.0,18.0
seed2,15,500.0,20.0
seed2,16,500.0,19.0
seed2,17,500.0,22.0
seed2,18,500.0,15.0
seed2,19,409.0,19.0
seed2,20,500.0,15.0
seed2,21,408.0,21.0
seed2,22,500.0,20.0
seed2,23,328.0,18.0
seed2,24,393.0,18.0
seed2,25,400.0,20.0
seed2,26,399.0,20.0
seed2,27,413.0,21.0
seed2,28,406.0,17.0
seed2,29,500.0,16.0
seed2,30,385.0,21.0
