seed,episode,clean,trigger
seed0,1,500.0,12.0
seed0,2,500.0,14.0
seed0,3,500.0,13.0
seed0,4,500.0,15.0
seed0,5,500.0,14.0
seed0,6,500.0,12.0
seed0,7,500.0,14.0
seed0,8,500.0,15.0
seed0,9,500.0,13.0
seed0,10,500.0,13.0
seed0,11,500.0,14.0
seed0,12,500.0,15.0
seed0,13,500.0,14.0
seed0,14,500.0,13.0
seed0,15,500.0,15.0
seed0,16,500.0,14.0
seed0,17,500.0,14.0
seed0,18,500.0,11.0
seed0,19,500.0,13.0
seed0,20,500.0,13.0
seed0,21,500.0,12.0
seed0,22,500.0,14.0
seed0,23,500.0,15.0
seed0,24,500.0,15.0
seed0,25,500.0,15.0
seed0,26,500.0,15.0
seed0,27,500.0,13.0
seed0,28,500.0,10.0
seed0,29,500.0,14.0
seed0,30,500.0,14.0
