label,episodes,clean_mean,clean_std,trigger_mean,trigger_std,delta,delta_pct
seed0,30,500.0,0.0,12.9,1.3253930234714029,-487.1,-97.42
seed1,30,500.0,0.0,14.533333333333331,1.4313940369055926,-485.4666666666667,-97.09333333333333
seed2,30,435.7,67.85187297832438,18.133333333333333,1.5216949614017772,-417.56666666666666,-95.8381149108714
