#{"t_start": 1760168200.6809075, "env_id": "None"}
r,l,t
10.0,10,80.82578
10.0,10,80.8344
10.0,10,80.842103
10.0,10,80.849315
9.0,9,80.856544
10.0,10,80.865729
10.0,10,80.873349
10.0,10,80.883548
9.0,9,80.890765
10.0,10,80.899016
10.0,10,80.906759
10.0,10,80.915585
8.0,8,80.921739
10.0,10,80.927935
8.0,8,80.935042
9.0,9,80.941227
8.0,8,80.946854
9.0,9,80.957413
9.0,9,80.96405
10.0,10,80.970244
9.0,9,80.980653
9.0,9,80.987153
11.0,11,80.995431
8.0,8,81.001565
10.0,10,81.008814
9.0,9,81.014977
9.0,9,81.023617
10.0,10,81.031368
10.0,10,81.039185
10.0,10,81.046731
9.0,9,81.054864
10.0,10,81.062088
10.0,10,81.069351
10.0,10,81.077089
9.0,9,81.0844
10.0,10,81.092158
10.0,10,81.099853
10.0,10,81.107133
12.0,12,81.11728
9.0,9,81.123344
10.0,10,81.12953
8.0,8,81.137278
10.0,10,81.146865
8.0,8,81.153177
10.0,10,81.159325
9.0,9,81.168175
9.0,9,81.173891
8.0,8,81.179633
9.0,9,81.187017
9.0,9,81.193579
9.0,9,81.202255
10.0,10,81.208421
10.0,10,81.217237
10.0,10,81.225564
10.0,10,81.234929
10.0,9,81.241682
10.0,10,81.248845
9.0,9,81.257704
9.0,9,81.263888
10.0,10,81.270077
10.0,10,81.277361
10.0,10,81.285214
10.0,10,81.29383
9.0,9,81.302482
10.0,10,81.310364
12.0,12,81.317928
9.0,9,81.323877
10.0,10,81.331428
9.0,9,81.340172
10.0,10,81.347323
10.0,10,81.356093
10.0,10,81.362647
8.0,8,81.367799
10.0,10,81.377057
9.0,9,81.384314
8.0,8,81.389956
8.0,8,81.395646
11.0,11,81.405354
9.0,9,81.411389
10.0,10,81.418415
9.0,9,81.426971
10.0,10,81.433043
10.0,10,81.441107
9.0,9,81.446626
8.0,8,81.452896
10.0,10,81.459981
9.0,9,81.467137
10.0,10,81.474814
10.0,10,81.483226
9.0,9,81.489318
9.0,9,81.494874
9.0,9,81.50044
9.0,9,81.506986
9.0,9,81.512579
10.0,10,81.519179
9.0,9,81.528429
9.0,9,81.533049
11.0,10,81.540325
10.0,10,81.552963
10.0,10,81.560647
11.0,11,81.572658
10.0,10,81.582949
9.0,9,81.589131
10.0,10,81.598214
11.0,11,81.609362
10.0,10,81.619348
9.0,9,81.625519
10.0,10,81.634369
9.0,9,81.643587
8.0,8,81.649631
8.0,8,81.656471
10.0,10,81.665259
9.0,9,81.673025
11.0,11,81.682411
9.0,9,81.689487
10.0,10,81.698117
9.0,9,81.705842
10.0,10,81.718267
10.0,10,81.726606
9.0,9,81.732799
10.0,10,81.742111
10.0,10,81.749414
10.0,10,81.756747
10.0,10,81.764439
10.0,10,81.772183
9.0,9,81.77904
10.0,10,81.788854
10.0,10,81.795023
9.0,9,81.802682
9.0,9,81.811472
10.0,10,81.817703
10.0,10,81.826485
10.0,10,81.833767
8.0,8,81.841067
10.0,10,81.849428
10.0,10,81.857102
10.0,10,81.86791
9.0,9,81.874036
10.0,10,81.88138
8.0,8,81.88751
8.0,8,81.893054
9.0,9,81.901884
10.0,10,81.908074
10.0,10,81.91743
9.0,9,81.92348
9.0,9,81.929633
9.0,9,81.935689
9.0,9,81.945403
11.0,11,81.952538
9.0,9,81.961332
10.0,10,81.969974
9.0,9,81.978867
9.0,9,81.988003
9.0,9,81.994672
10.0,10,82.001219
9.0,9,82.009865
9.0,9,82.01635
10.0,10,82.024019
10.0,10,82.034584
9.0,9,82.040751
10.0,10,82.049761
11.0,10,82.055297
9.0,9,82.061486
11.0,11,82.071468
9.0,9,82.078767
10.0,10,82.087833
8.0,8,82.094011
11.0,11,82.104247
9.0,9,82.111347
10.0,10,82.117393
10.0,10,82.1261
11.0,11,82.134817
9.0,9,82.141874
10.0,10,82.148567
11.0,11,82.158204
9.0,9,82.164389
10.0,10,82.173454
9.0,9,82.180213
9.0,9,82.18677
10.0,10,82.197453
8.0,8,82.203497
10.0,10,82.210158
11.0,11,82.217812
8.0,8,82.22455
9.0,9,82.231682
10.0,10,82.238925
12.0,12,82.248191
9.0,9,82.255316
10.0,10,82.265718
9.0,9,82.27293
10.0,10,82.279062
9.0,9,82.287629
9.0,9,82.294275
9.0,9,82.300474
9.0,9,82.307734
9.0,9,82.316482
9.0,9,82.323733
10.0,10,82.331493
10.0,10,82.338722
8.0,8,82.344922
10.0,10,82.354205
10.0,10,82.361943
9.0,9,82.369206
10.0,10,82.378095
9.0,9,82.385186
10.0,10,82.392904
10.0,10,82.401689
9.0,9,82.408998
9.0,9,82.416697
9.0,9,82.425773
9.0,9,82.433061
11.0,11,82.446162
10.0,10,82.455324
9.0,9,82.462385
10.0,10,82.474212
8.0,8,82.481787
9.0,9,82.490116
9.0,9,82.497877
11.0,11,82.507601
9.0,9,82.514311
9.0,9,82.52254
9.0,9,82.529096
9.0,9,82.536655
9.0,9,82.543843
9.0,9,82.552877
10.0,10,82.560639
9.0,9,82.566822
10.0,10,82.576163
9.0,9,82.583335
10.0,10,82.592178
10.0,10,82.59882
9.0,9,82.604409
9.0,9,82.611981
12.0,12,82.621109
10.0,10,82.627203
10.0,10,82.635896
10.0,10,82.644007
9.0,9,82.650119
10.0,10,82.657869
9.0,9,82.665073
10.0,10,82.673374
9.0,9,82.679011
10.0,10,82.685134
11.0,11,82.693395
8.0,8,82.699549
9.0,9,82.705734
9.0,9,82.714473
10.0,10,82.720568
9.0,9,82.727636
10.0,10,82.735307
9.0,9,82.74208
9.0,9,82.748621
9.0,9,82.75541
9.0,9,82.763093
10.0,10,82.770377
15.0,14,82.781982
9.0,9,82.787994
9.0,9,82.79424
9.0,9,82.802638
10.0,10,82.809271
9.0,9,82.815094
13.0,12,82.824269
9.0,9,82.834149
10.0,10,82.842905
10.0,10,82.849518
9.0,9,82.856054
9.0,9,82.862095
8.0,8,82.869359
9.0,9,82.875443
9.0,9,82.8841
10.0,10,82.890298
10.0,10,82.900383
12.0,11,82.90772
10.0,10,82.915017
10.0,10,82.922751
9.0,9,82.932914
9.0,9,82.940223
10.0,10,82.946296
10.0,10,82.955571
11.0,11,82.964261
9.0,9,82.970501
10.0,10,82.97608
9.0,9,82.985363
10.0,10,82.992514
9.0,9,82.998563
11.0,10,83.005764
10.0,10,83.01335
10.0,10,83.022597
9.0,9,83.028646
9.0,9,83.034867
9.0,9,83.042546
8.0,8,83.049117
11.0,11,83.055151
9.0,9,83.062706
8.0,8,83.070239
10.0,10,83.07795
9.0,9,83.08526
10.0,10,83.094535
10.0,10,83.102868
9.0,9,83.111435
9.0,9,83.117495
10.0,10,83.123669
10.0,10,83.133156
8.0,8,83.140286
10.0,10,83.146039
10.0,10,83.156523
9.0,9,83.162777
9.0,9,83.170558
8.0,8,83.176638
9.0,9,83.186323
9.0,9,83.194939
8.0,8,83.201588
8.0,8,83.208208
8.0,8,83.213835
9.0,9,83.220014
9.0,9,83.227305
9.0,9,83.234646
8.0,8,83.240769
9.0,9,83.246925
9.0,9,83.253117
9.0,9,83.258834
10.0,10,83.266776
9.0,9,83.273501
10.0,10,83.281246
9.0,9,83.288543
10.0,10,83.294741
9.0,9,83.302598
9.0,9,83.310354
10.0,10,83.31762
9.0,9,83.323806
9.0,9,83.330599
10.0,10,83.337522
9.0,9,83.34612
9.0,9,83.351821
9.0,9,83.357998
9.0,9,83.365887
10.0,10,83.374457
10.0,10,83.382234
8.0,8,83.387801
9.0,9,83.396584
8.0,8,83.402784
10.0,10,83.408359
