#{"t_start": 1760168200.6778426, "env_id": "None"}
r,l,t
12.0,12,4.617427
12.0,12,4.626302
20.0,20,4.642632
13.0,13,4.652019
13.0,13,4.663334
14.0,14,4.672151
9.0,9,4.67933
18.0,18,4.697409
9.0,9,4.707646
8.0,8,4.717235
12.0,12,4.7305
10.0,10,4.740881
12.0,12,4.761695
10.0,10,4.771079
12.0,12,4.785164
10.0,10,4.794206
16.0,16,4.809134
14.0,14,4.821083
16.0,16,4.834758
15.0,15,4.852021
8.0,8,4.863137
11.0,11,4.876504
17.0,17,4.891766
14.0,14,4.903234
14.0,14,4.915495
11.0,11,4.927694
13.0,13,4.94209
13.0,13,4.952992
13.0,13,4.964166
11.0,11,4.974428
13.0,13,4.986872
18.0,18,5.004712
14.0,14,5.016472
11.0,11,5.025063
11.0,11,5.036411
13.0,13,5.046765
16.0,16,5.059006
21.0,21,5.070096
14.0,14,5.080372
10.0,10,5.086601
15.0,15,5.096926
11.0,11,5.10524
13.0,13,5.115518
9.0,9,5.120836
11.0,11,5.131171
15.0,15,5.142005
15.0,15,5.154506
10.0,10,5.162231
13.0,13,5.174456
12.0,12,5.185058
9.0,9,5.194623
12.0,12,5.202193
13.0,13,5.214729
18.0,18,5.227227
18.0,18,5.241305
10.0,10,5.250191
16.0,16,5.263848
10.0,10,5.273931
15.0,15,5.287862
12.0,12,5.29756
20.0,20,5.314216
9.0,9,5.322908
15.0,15,5.336158
15.0,15,5.34441
9.0,9,5.356535
14.0,14,5.368823
16.0,16,5.382045
9.0,9,5.390761
13.0,13,5.450669
12.0,12,5.480276
10.0,10,5.492919
16.0,16,5.521224
10.0,10,5.534362
16.0,16,5.55025
14.0,14,5.560715
8.0,8,5.570103
8.0,8,5.575886
10.0,10,5.588993
10.0,10,5.596709
13.0,13,5.609125
12.0,12,5.625867
12.0,12,5.638697
13.0,13,5.652988
11.0,11,5.661777
14.0,14,5.675196
14.0,14,5.685359
10.0,10,5.694449
9.0,9,5.700143
12.0,12,5.710568
10.0,10,5.720524
10.0,10,5.727377
14.0,14,5.741128
10.0,10,5.746978
12.0,12,5.757433
9.0,9,5.764008
13.0,13,5.777352
13.0,13,5.788906
10.0,10,5.79548
11.0,11,5.806152
11.0,11,5.813744
10.0,10,5.820182
14.0,14,5.830461
8.0,8,5.837747
10.0,10,5.843947
14.0,14,5.854824
12.0,12,5.862919
16.0,16,5.876179
12.0,12,5.885916
10.0,10,5.892631
12.0,12,5.902498
13.0,13,5.914564
13.0,13,5.924255
17.0,17,5.935802
11.0,11,5.944146
9.0,9,5.95038
12.0,12,5.960104
10.0,10,5.968171
12.0,12,5.977293
19.0,19,5.993785
15.0,15,6.008021
15.0,15,6.021449
17.0,17,6.034878
15.0,15,6.049499
9.0,9,6.055543
13.0,13,6.069517
18.0,18,6.0869
9.0,9,6.098015
21.0,21,6.117862
12.0,12,6.128162
11.0,11,6.142063
10.0,10,6.152965
13.0,13,6.161341
12.0,12,6.167987
13.0,13,6.179468
9.0,9,6.187098
12.0,12,6.197184
16.0,16,6.209674
10.0,10,6.219001
10.0,10,6.228174
9.0,9,6.237257
13.0,13,6.248995
12.0,12,6.258333
13.0,13,6.267417
13.0,13,6.27503
12.0,12,6.285436
10.0,10,6.293148
12.0,12,6.304266
15.0,15,6.315331
9.0,9,6.322608
11.0,11,6.33305
9.0,9,6.341945
18.0,18,6.353893
8.0,8,6.360553
10.0,10,6.367754
10.0,10,6.373936
13.0,13,6.384486
9.0,9,6.394871
23.0,23,6.416208
10.0,10,6.423276
10.0,10,6.435457
14.0,14,6.449384
15.0,15,6.459722
15.0,15,6.473703
12.0,12,6.481936
13.0,13,6.48998
9.0,9,6.495804
10.0,10,6.503495
9.0,9,6.509652
13.0,13,6.518278
15.0,15,6.530464
12.0,12,6.54632
14.0,14,6.56374
14.0,14,6.577464
14.0,14,6.588644
12.0,12,6.599002
9.0,9,6.606876
12.0,12,6.619173
10.0,10,6.627752
12.0,12,6.637595
12.0,12,6.653102
9.0,9,6.662535
10.0,10,6.679281
12.0,12,6.69014
12.0,12,6.700347
10.0,10,6.708168
18.0,18,6.724216
18.0,18,6.736829
16.0,16,6.749737
16.0,16,6.760124
11.0,11,6.767884
14.0,14,6.778435
12.0,12,6.787264
10.0,10,6.794535
15.0,15,6.804923
13.0,13,6.813717
12.0,12,6.825567
9.0,9,6.833313
9.0,9,6.842492
10.0,10,6.850226
12.0,12,6.859543
10.0,10,6.868871
15.0,15,6.87834
10.0,10,6.885909
17.0,17,6.898113
9.0,9,6.907132
12.0,12,6.915841
38.0,38,6.941115
16.0,16,6.951955
10.0,10,6.957705
11.0,11,6.967
11.0,11,6.97792
13.0,13,6.987506
9.0,9,6.993175
11.0,11,7.004278
29.0,29,7.028202
11.0,11,7.038196
14.0,14,7.050333
14.0,14,7.060922
9.0,9,7.067763
12.0,12,7.079964
11.0,11,7.090568
14.0,14,7.101961
12.0,12,7.11072
13.0,13,7.119583
12.0,12,7.13143
11.0,11,7.23124
13.0,13,7.245012
11.0,11,7.266322
14.0,14,7.280929
9.0,9,7.288167
9.0,9,7.296524
10.0,10,7.304138
11.0,11,7.312381
12.0,12,7.321175
10.0,10,7.328442
10.0,10,7.338372
17.0,17,7.3501
9.0,9,7.355644
11.0,11,7.364799
11.0,11,7.376425
10.0,10,7.384697
13.0,13,7.39946
10.0,10,7.407908
12.0,12,7.419001
12.0,12,7.426665
11.0,11,7.436033
11.0,11,7.444616
13.0,13,7.451847
11.0,11,7.458031
9.0,9,7.464221
9.0,9,7.470507
8.0,8,7.4761
12.0,12,7.483371
10.0,10,7.491083
11.0,11,7.497003
18.0,18,7.509339
12.0,12,7.518597
12.0,12,7.529693
9.0,9,7.538584
9.0,9,7.54618
15.0,15,7.558291
9.0,9,7.567641
9.0,9,7.576166
9.0,9,7.583737
12.0,12,7.593508
10.0,10,7.599804
17.0,17,7.613048
18.0,18,7.624109
15.0,15,7.632416
18.0,18,7.642165
17.0,17,7.658794
11.0,11,7.665681
14.0,14,7.679071
10.0,10,7.685709
12.0,12,7.693784
12.0,12,7.700976
12.0,12,7.710904
11.0,11,7.718158
14.0,14,7.728957
10.0,10,7.735202
11.0,11,7.742914
9.0,9,7.748457
12.0,12,7.756273
15.0,15,7.767158
13.0,13,7.775935
16.0,16,7.786269
11.0,11,7.794551
10.0,10,7.79989
12.0,12,7.81007
10.0,10,7.818774
12.0,12,7.828101
14.0,14,7.837525
12.0,12,7.846747
11.0,11,7.855323
12.0,12,7.863521
16.0,16,7.873314
10.0,10,7.88215
13.0,13,7.89096
17.0,17,7.902352
10.0,10,7.911052
12.0,12,7.919659
10.0,10,7.925243
12.0,12,7.933073
9.0,9,7.938801
12.0,12,7.948087
17.0,17,7.962173
10.0,10,7.969223
10.0,10,7.976769
10.0,10,7.982907
12.0,12,7.991479
10.0,10,8.000044
10.0,10,8.006156
11.0,11,8.014937
9.0,9,8.021094
11.0,11,8.029989
12.0,12,8.038675
10.0,10,8.044419
9.0,9,8.05212
11.0,11,8.056779
14.0,14,8.068099
11.0,11,8.07577
13.0,13,8.083765
9.0,9,8.089933
12.0,12,8.097319
11.0,11,8.105599
10.0,10,8.11163
11.0,11,8.120178
11.0,11,8.128444
9.0,9,8.136672
9.0,9,8.141857
9.0,9,8.151239
10.0,10,8.157939
12.0,12,8.16775
12.0,12,8.175477
12.0,12,8.186014
11.0,11,8.198764
